20:00:11.098891 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 13033, win 794, options [nop,nop,TS val 4294907550 ecr 165951,nop,nop,sack 3 {37649:40545}{21721:36201}{17377:20273}], length 0
20:00:11.099170 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 20273:21721, ack 1, win 1358, options [nop,nop,TS val 167658 ecr 4294907550], length 1448
20:00:11.168954 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 13033, win 817, options [nop,nop,TS val 4294907659 ecr 165951,nop,nop,sack 3 {37649:41993}{21721:36201}{17377:20273}], length 0
20:00:11.169336 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 50681:52129, ack 1, win 1358, options [nop,nop,TS val 167728 ecr 4294907659], length 1448
20:00:11.181385 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 13033, win 839, options [nop,nop,TS val 4294907688 ecr 165951,nop,nop,sack 3 {37649:43441}{21721:36201}{17377:20273}], length 0
20:00:11.181667 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 52129:53577, ack 1, win 1358, options [nop,nop,TS val 167740 ecr 4294907688], length 1448
20:00:11.191277 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 13033, win 862, options [nop,nop,TS val 4294907849 ecr 165951,nop,nop,sack 3 {37649:44889}{21721:36201}{17377:20273}], length 0
20:00:11.191542 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 53577:55025, ack 1, win 1358, options [nop,nop,TS val 167750 ecr 4294907849], length 1448
20:00:11.281113 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 13033:14481, ack 1, win 1358, options [nop,nop,TS val 167546 ecr 4294907368], length 1448
20:00:11.373138 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 13033, win 885, options [nop,nop,TS val 4294907872 ecr 165951,nop,nop,sack 2 {21721:44889}{17377:20273}], length 0
20:00:11.373529 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 55025:56473, ack 1, win 1358, options [nop,nop,TS val 167932 ecr 4294907872], length 1448
20:00:11.383590 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 13033, win 907, options [nop,nop,TS val 4294907945 ecr 165951,nop,nop,sack 2 {21721:46337}{17377:20273}], length 0
20:00:11.383865 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 56473:57921, ack 1, win 1358, options [nop,nop,TS val 167942 ecr 4294907945], length 1448
20:00:11.391980 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 49233:50681, ack 1, win 1358, options [nop,nop,TS val 167637 ecr 4294907469], length 1448
20:00:11.482203 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 20273:21721, ack 1, win 1358, options [nop,nop,TS val 167658 ecr 4294907550], length 1448
20:00:11.501847 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 50681:52129, ack 1, win 1358, options [nop,nop,TS val 167728 ecr 4294907659], length 1448
