20:01:48.359853 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1581217:1582665, ack 1, win 1358, options [nop,nop,TS val 264918 ecr 37444], length 1448
20:01:48.371050 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1581217:1582665, ack 1, win 1358, options [nop,nop,TS val 264918 ecr 37444], length 1448
20:01:48.382290 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1571081, win 1596, options [nop,nop,TS val 37454 ecr 264107], length 0
20:01:48.382580 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1582665:1584113, ack 1, win 1358, options [nop,nop,TS val 264941 ecr 37454], length 1448
20:01:48.382646 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1584113:1585561, ack 1, win 1358, options [nop,nop,TS val 264941 ecr 37454], length 1448
20:01:48.473761 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1582665:1584113, ack 1, win 1358, options [nop,nop,TS val 264941 ecr 37454], length 1448
20:01:48.482193 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1572529, win 1596, options [nop,nop,TS val 37650 ecr 264151], length 0
20:01:48.482530 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1585561:1587009, ack 1, win 1358, options [nop,nop,TS val 265041 ecr 37650], length 1448
20:01:48.494900 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1584113:1585561, ack 1, win 1358, options [nop,nop,TS val 264941 ecr 37454], length 1448
20:01:48.581974 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1585561:1587009, ack 1, win 1358, options [nop,nop,TS val 265041 ecr 37650], length 1448
20:01:48.667989 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1573977, win 1596, options [nop,nop,TS val 37761 ecr 264218], length 0
20:01:48.668393 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1587009:1588457, ack 1, win 1358, options [nop,nop,TS val 265227 ecr 37761], length 1448
20:01:48.674815 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1587009:1588457, ack 1, win 1358, options [nop,nop,TS val 265227 ecr 37761], length 1448
20:01:48.757109 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1575425, win 1596, options [nop,nop,TS val 37840 ecr 264326], length 0
20:01:48.757457 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1588457:1589905, ack 1, win 1358, options [nop,nop,TS val 265316 ecr 37840], length 1448
20:01:48.782553 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1588457:1589905, ack 1, win 1358, options [nop,nop,TS val 265316 ecr 37840], length 1448
20:01:48.858010 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1576873, win 1596, options [nop,nop,TS val 38033 ecr 264618], length 0
20:01:48.858363 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1589905:1591353, ack 1, win 1358, options [nop,nop,TS val 265417 ecr 38033], length 1448
20:01:48.868895 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1589905:1591353, ack 1, win 1358, options [nop,nop,TS val 265417 ecr 38033], length 1448
20:01:48.965004 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1578321, win 1596, options [nop,nop,TS val 38152 ecr 264712], length 0
20:01:48.965369 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1591353:1592801, ack 1, win 1358, options [nop,nop,TS val 265524 ecr 38152], length 1448
20:01:48.965431 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1592801:1594249, ack 1, win 1358, options [nop,nop,TS val 265524 ecr 38152], length 1448
20:01:48.973098 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1591353:1592801, ack 1, win 1358, options [nop,nop,TS val 265524 ecr 38152], length 1448
20:01:49.053642 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1592801:1594249, ack 1, win 1358, options [nop,nop,TS val 265524 ecr 38152], length 1448
20:01:49.073893 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1579769, win 1596, options [nop,nop,TS val 38232 ecr 264712], length 0
20:01:49.074238 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1594249:1595697, ack 1, win 1358, options [nop,nop,TS val 265633 ecr 38232], length 1448
20:01:49.081666 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1594249:1595697, ack 1, win 1358, options [nop,nop,TS val 265633 ecr 38232], length 1448
20:01:49.168909 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1581217, win 1596, options [nop,nop,TS val 38347 ecr 264831], length 0
20:01:49.169211 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1595697:1597145, ack 1, win 1358, options [nop,nop,TS val 265727 ecr 38347], length 1448
20:01:49.177763 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1595697:1597145, ack 1, win 1358, options [nop,nop,TS val 265727 ecr 38347], length 1448
20:01:49.283601 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1582665, win 1596, options [nop,nop,TS val 38367 ecr 264918], length 0
20:01:49.283858 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1597145:1598593, ack 1, win 1358, options [nop,nop,TS val 265842 ecr 38367], length 1448
20:01:49.297773 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1597145:1598593, ack 1, win 1358, options [nop,nop,TS val 265842 ecr 38367], length 1448
20:01:49.377412 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1584113, win 1596, options [nop,nop,TS val 38455 ecr 264941], length 0
20:01:49.377761 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1598593:1600041, ack 1, win 1358, options [nop,nop,TS val 265936 ecr 38455], length 1448
20:01:49.383456 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1598593:1600041, ack 1, win 1358, options [nop,nop,TS val 265936 ecr 38455], length 1448
20:01:49.466280 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1585561, win 1596, options [nop,nop,TS val 38467 ecr 264941], length 0
20:01:49.466565 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1600041:1601489, ack 1, win 1358, options [nop,nop,TS val 266025 ecr 38467], length 1448
20:01:49.476921 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1600041:1601489, ack 1, win 1358, options [nop,nop,TS val 266025 ecr 38467], length 1448
20:01:49.486917 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1587009, win 1596, options [nop,nop,TS val 38601 ecr 265041], length 0
20:01:49.487183 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1601489:1602937, ack 1, win 1358, options [nop,nop,TS val 266045 ecr 38601], length 1448
20:01:49.559236 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1601489:1602937, ack 1, win 1358, options [nop,nop,TS val 266045 ecr 38601], length 1448
20:01:49.586506 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1588457, win 1596, options [nop,nop,TS val 38752 ecr 265227], length 0
20:01:49.586845 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1602937:1604385, ack 1, win 1358, options [nop,nop,TS val 266145 ecr 38752], length 1448
20:01:49.664729 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1602937:1604385, ack 1, win 1358, options [nop,nop,TS val 266145 ecr 38752], length 1448
20:01:49.774382 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1591353, win 1596, options [nop,nop,TS val 38941 ecr 265316], length 0
20:01:49.774726 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1604385:1605833, ack 1, win 1358, options [nop,nop,TS val 266333 ecr 38941], length 1448
20:01:49.774792 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1605833:1607281, ack 1, win 1358, options [nop,nop,TS val 266333 ecr 38941], length 1448
20:01:49.875931 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1604385:1605833, ack 1, win 1358, options [nop,nop,TS val 266333 ecr 38941], length 1448
20:01:49.885195 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1591353, win 1596, options [nop,nop,TS val 39076 ecr 265316,nop,nop,sack 1 {1592801:1594249}], length 0
20:01:49.885468 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1607281:1608729, ack 1, win 1358, options [nop,nop,TS val 266444 ecr 39076], length 1448
20:01:49.905230 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1605833:1607281, ack 1, win 1358, options [nop,nop,TS val 266333 ecr 38941], length 1448
20:01:49.977302 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1607281:1608729, ack 1, win 1358, options [nop,nop,TS val 266444 ecr 39076], length 1448
20:01:49.984150 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1591353, win 1596, options [nop,nop,TS val 39149 ecr 265316,nop,nop,sack 1 {1592801:1595697}], length 0
20:01:49.984496 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1608729:1610177, ack 1, win 1358, options [nop,nop,TS val 266543 ecr 39149], length 1448
20:01:50.062554 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1608729:1610177, ack 1, win 1358, options [nop,nop,TS val 266543 ecr 39149], length 1448
20:01:50.085354 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1591353, win 1596, options [nop,nop,TS val 39252 ecr 265316,nop,nop,sack 1 {1592801:1597145}], length 0
20:01:50.085690 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1591353:1592801, ack 1, win 1358, options [nop,nop,TS val 266644 ecr 39252], length 1448
20:01:50.090604 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1591353:1592801, ack 1, win 1358, options [nop,nop,TS val 266644 ecr 39252], length 1448
20:01:50.184771 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1591353, win 1596, options [nop,nop,TS val 39264 ecr 265316,nop,nop,sack 1 {1592801:1598593}], length 0
20:01:50.185117 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1610177:1611625, ack 1, win 1358, options [nop,nop,TS val 266744 ecr 39264], length 1448
20:01:50.206552 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1591353, win 1596, options [nop,nop,TS val 39371 ecr 265316,nop,nop,sack 1 {1592801:1600041}], length 0
20:01:50.272232 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1610177:1611625, ack 1, win 1358, options [nop,nop,TS val 266744 ecr 39264], length 1448
20:01:50.282233 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1591353, win 1596, options [nop,nop,TS val 39390 ecr 265316,nop,nop,sack 1 {1592801:1601489}], length 0
20:01:50.282519 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1611625:1613073, ack 1, win 1358, options [nop,nop,TS val 266841 ecr 39390], length 1448
20:01:50.319153 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1611625:1613073, ack 1, win 1358, options [nop,nop,TS val 266841 ecr 39390], length 1448
20:01:50.379963 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1591353, win 1596, options [nop,nop,TS val 39541 ecr 265316,nop,nop,sack 1 {1592801:1602937}], length 0
20:01:50.380331 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1613073:1614521, ack 1, win 1358, options [nop,nop,TS val 266939 ecr 39541], length 1448
20:01:50.391973 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1613073:1614521, ack 1, win 1358, options [nop,nop,TS val 266939 ecr 39541], length 1448
20:01:50.489309 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1591353, win 1596, options [nop,nop,TS val 39650 ecr 265316,nop,nop,sack 1 {1592801:1604385}], length 0
20:01:50.672834 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1591353, win 1596, options [nop,nop,TS val 39876 ecr 265316,nop,nop,sack 1 {1592801:1605833}], length 0
20:01:50.872464 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1591353, win 1596, options [nop,nop,TS val 39950 ecr 265316,nop,nop,sack 1 {1592801:1607281}], length 0
20:01:50.872811 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1614521:1615969, ack 1, win 1358, options [nop,nop,TS val 267431 ecr 39950], length 1448
20:01:50.879109 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1614521:1615969, ack 1, win 1358, options [nop,nop,TS val 267431 ecr 39950], length 1448
20:01:50.897911 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1591353, win 1596, options [nop,nop,TS val 39981 ecr 265316,nop,nop,sack 1 {1592801:1608729}], length 0
20:01:50.898274 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1615969:1617417, ack 1, win 1358, options [nop,nop,TS val 267456 ecr 39981], length 1448
20:01:50.966620 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1615969:1617417, ack 1, win 1358, options [nop,nop,TS val 267456 ecr 39981], length 1448
20:01:50.980514 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1591353, win 1596, options [nop,nop,TS val 40055 ecr 265316,nop,nop,sack 1 {1592801:1610177}], length 0
20:01:50.980767 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1617417:1618865, ack 1, win 1358, options [nop,nop,TS val 267539 ecr 40055], length 1448
20:01:50.986827 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1617417:1618865, ack 1, win 1358, options [nop,nop,TS val 267539 ecr 40055], length 1448
20:01:50.999765 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1610177, win 1516, options [nop,nop,TS val 40146 ecr 266644], length 0
20:01:51.000142 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1618865:1620313, ack 1, win 1358, options [nop,nop,TS val 267558 ecr 40146], length 1448
20:01:51.070115 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1618865:1620313, ack 1, win 1358, options [nop,nop,TS val 267558 ecr 40146], length 1448
20:01:51.083939 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1611625, win 1596, options [nop,nop,TS val 40160 ecr 266744], length 0
20:01:51.084270 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1620313:1621761, ack 1, win 1358, options [nop,nop,TS val 267642 ecr 40160], length 1448
20:01:51.093459 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1620313:1621761, ack 1, win 1358, options [nop,nop,TS val 267642 ecr 40160], length 1448
20:01:51.178307 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1613073, win 1596, options [nop,nop,TS val 40348 ecr 266841], length 0
20:01:51.178641 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1621761:1623209, ack 1, win 1358, options [nop,nop,TS val 267737 ecr 40348], length 1448
20:01:51.178745 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1623209:1624657, ack 1, win 1358, options [nop,nop,TS val 267737 ecr 40348], length 1448
20:01:51.186302 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1621761:1623209, ack 1, win 1358, options [nop,nop,TS val 267737 ecr 40348], length 1448
20:01:51.273199 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1614521, win 1596, options [nop,nop,TS val 40360 ecr 266939], length 0
20:01:51.273540 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1624657:1626105, ack 1, win 1358, options [nop,nop,TS val 267832 ecr 40360], length 1448
20:01:51.281313 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1623209:1624657, ack 1, win 1358, options [nop,nop,TS val 267737 ecr 40348], length 1448
20:01:51.303869 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1624657:1626105, ack 1, win 1358, options [nop,nop,TS val 267832 ecr 40360], length 1448
20:01:51.684403 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1615969, win 1596, options [nop,nop,TS val 40871 ecr 267431], length 0
20:01:51.684752 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1626105:1627553, ack 1, win 1358, options [nop,nop,TS val 268243 ecr 40871], length 1448
20:01:51.689727 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1626105:1627553, ack 1, win 1358, options [nop,nop,TS val 268243 ecr 40871], length 1448
20:01:51.786214 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1617417, win 1596, options [nop,nop,TS val 40951 ecr 267456], length 0
20:01:51.786538 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1627553:1629001, ack 1, win 1358, options [nop,nop,TS val 268345 ecr 40951], length 1448
20:01:51.791050 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1627553:1629001, ack 1, win 1358, options [nop,nop,TS val 268345 ecr 40951], length 1448
20:01:51.881835 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1618865, win 1596, options [nop,nop,TS val 40970 ecr 267539], length 0
20:01:51.882120 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1629001:1630449, ack 1, win 1358, options [nop,nop,TS val 268440 ecr 40970], length 1448
20:01:51.894869 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1629001:1630449, ack 1, win 1358, options [nop,nop,TS val 268440 ecr 40970], length 1448
20:01:51.903123 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1620313, win 1596, options [nop,nop,TS val 41051 ecr 267558], length 0
20:01:51.903462 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1630449:1631897, ack 1, win 1358, options [nop,nop,TS val 268462 ecr 41051], length 1448
20:01:51.979661 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1630449:1631897, ack 1, win 1358, options [nop,nop,TS val 268462 ecr 41051], length 1448
20:01:51.987685 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1621761, win 1596, options [nop,nop,TS val 41064 ecr 267642], length 0
20:01:51.988020 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1631897:1633345, ack 1, win 1358, options [nop,nop,TS val 268546 ecr 41064], length 1448
20:01:51.998611 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1623209, win 1596, options [nop,nop,TS val 41163 ecr 267737], length 0
20:01:51.998957 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1633345:1634793, ack 1, win 1358, options [nop,nop,TS val 268557 ecr 41163], length 1448
20:01:52.006482 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1631897:1633345, ack 1, win 1358, options [nop,nop,TS val 268546 ecr 41064], length 1448
20:01:52.077080 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1624657, win 1596, options [nop,nop,TS val 41248 ecr 267737], length 0
20:01:52.077426 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1634793:1636241, ack 1, win 1358, options [nop,nop,TS val 268636 ecr 41248], length 1448
20:01:52.077489 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1636241:1637689, ack 1, win 1358, options [nop,nop,TS val 268636 ecr 41248], length 1448
20:01:52.091365 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1633345:1634793, ack 1, win 1358, options [nop,nop,TS val 268557 ecr 41163], length 1448
20:01:52.172978 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1634793:1636241, ack 1, win 1358, options [nop,nop,TS val 268636 ecr 41248], length 1448
20:01:52.188274 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1626105, win 1596, options [nop,nop,TS val 41350 ecr 267832], length 0
20:01:52.188611 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1637689:1639137, ack 1, win 1358, options [nop,nop,TS val 268747 ecr 41350], length 1448
20:01:52.197704 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1636241:1637689, ack 1, win 1358, options [nop,nop,TS val 268636 ecr 41248], length 1448
20:01:52.283982 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1637689:1639137, ack 1, win 1358, options [nop,nop,TS val 268747 ecr 41350], length 1448
20:01:52.488203 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1627553, win 1596, options [nop,nop,TS val 41675 ecr 268243], length 0
20:01:52.488448 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1639137:1640585, ack 1, win 1358, options [nop,nop,TS val 269047 ecr 41675], length 1448
20:01:52.499765 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1639137:1640585, ack 1, win 1358, options [nop,nop,TS val 269047 ecr 41675], length 1448
20:01:52.600025 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1629001, win 1596, options [nop,nop,TS val 41783 ecr 268345], length 0
20:01:52.600365 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1640585:1642033, ack 1, win 1358, options [nop,nop,TS val 269159 ecr 41783], length 1448
20:01:52.605586 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1640585:1642033, ack 1, win 1358, options [nop,nop,TS val 269159 ecr 41783], length 1448
20:01:52.692849 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1630449, win 1596, options [nop,nop,TS val 41868 ecr 268440], length 0
20:01:52.693194 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1642033:1643481, ack 1, win 1358, options [nop,nop,TS val 269252 ecr 41868], length 1448
20:01:52.698180 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1642033:1643481, ack 1, win 1358, options [nop,nop,TS val 269252 ecr 41868], length 1448
20:01:52.784290 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1631897, win 1596, options [nop,nop,TS val 41955 ecr 268462], length 0
20:01:52.784579 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1643481:1644929, ack 1, win 1358, options [nop,nop,TS val 269343 ecr 41955], length 1448
20:01:52.793869 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1643481:1644929, ack 1, win 1358, options [nop,nop,TS val 269343 ecr 41955], length 1448
20:01:52.807380 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1633345, win 1596, options [nop,nop,TS val 42009 ecr 268546], length 0
20:01:52.807741 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1644929:1646377, ack 1, win 1358, options [nop,nop,TS val 269366 ecr 42009], length 1448
20:01:52.815245 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1644929:1646377, ack 1, win 1358, options [nop,nop,TS val 269366 ecr 42009], length 1448
20:01:52.895068 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1634793, win 1596, options [nop,nop,TS val 42136 ecr 268557], length 0
20:01:52.895441 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1646377:1647825, ack 1, win 1358, options [nop,nop,TS val 269454 ecr 42136], length 1448
20:01:52.903648 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1646377:1647825, ack 1, win 1358, options [nop,nop,TS val 269454 ecr 42136], length 1448
20:01:52.988588 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1637689, win 1596, options [nop,nop,TS val 42166 ecr 268636], length 0
20:01:52.988958 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1647825:1649273, ack 1, win 1358, options [nop,nop,TS val 269547 ecr 42166], length 1448
20:01:52.989023 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1649273:1650721, ack 1, win 1358, options [nop,nop,TS val 269547 ecr 42166], length 1448
20:01:53.014521 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1647825:1649273, ack 1, win 1358, options [nop,nop,TS val 269547 ecr 42166], length 1448
20:01:53.093400 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1649273:1650721, ack 1, win 1358, options [nop,nop,TS val 269547 ecr 42166], length 1448
20:01:53.202468 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1639137, win 1596, options [nop,nop,TS val 42416 ecr 268747], length 0
20:01:53.202827 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1650721:1652169, ack 1, win 1358, options [nop,nop,TS val 269761 ecr 42416], length 1448
20:01:53.290120 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1650721:1652169, ack 1, win 1358, options [nop,nop,TS val 269761 ecr 42416], length 1448
20:01:53.311638 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1642033, win 1596, options [nop,nop,TS val 42581 ecr 269047], length 0
20:01:53.312038 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1652169:1653617, ack 1, win 1358, options [nop,nop,TS val 269870 ecr 42581], length 1448
20:01:53.312123 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1653617:1655065, ack 1, win 1358, options [nop,nop,TS val 269870 ecr 42581], length 1448
20:01:53.317297 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1652169:1653617, ack 1, win 1358, options [nop,nop,TS val 269870 ecr 42581], length 1448
20:01:53.402719 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1653617:1655065, ack 1, win 1358, options [nop,nop,TS val 269870 ecr 42581], length 1448
20:01:53.505749 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1644929, win 1596, options [nop,nop,TS val 42760 ecr 269252], length 0
20:01:53.506085 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1655065:1656513, ack 1, win 1358, options [nop,nop,TS val 270064 ecr 42760], length 1448
20:01:53.506153 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1656513:1657961, ack 1, win 1358, options [nop,nop,TS val 270064 ecr 42760], length 1448
20:01:53.509769 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1655065:1656513, ack 1, win 1358, options [nop,nop,TS val 270064 ecr 42760], length 1448
20:01:53.600740 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1656513:1657961, ack 1, win 1358, options [nop,nop,TS val 270064 ecr 42760], length 1448
20:01:53.693091 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1647825, win 1596, options [nop,nop,TS val 42875 ecr 269366], length 0
20:01:53.693424 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1657961:1659409, ack 1, win 1358, options [nop,nop,TS val 270251 ecr 42875], length 1448
